Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
15 km,F,76,1:21:37,4897,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/24/94,,37.4
15 km,F,77,1:19:44,4784,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/23/95,,38.4
15 km,F,78,1:29:21,5361,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/21/96,,33.6
15 km,F,79,1:25:05,5105,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/20/97,,35.6
15 km,F,80,1:25:09,5109,Libby,James ,USA,7/12/36,USATF Masters 15K Championships,Tulsa OK USA,10/29/16,,35.6
15 km,F,81,1:27:30,5250,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/18/99,,34.5
15 km,F,82,1:41:55,6115,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/16/00,,28.7
15 km,F,83,1:50:33,6633,Hedy,Marque,USA,5/27/17,George Washington Parkway Classic,"Alexandria, VA",4/22/01,,26.1
15 km,F,84,1:44:26,6266,Fenya,Crown,USA,,,WA,6/14/97,,27.9
15 km,F,87,2:29:01,8941,Haley,Olson ,USA,11/8/28,,Jacksonville FL USA,3/12/16,,17.9
15 km,F,90,2:45:41,9941,Judith,Baizan ,USA,3/21/25,,Tampa FL USA,2/20/16,,15.5
15 km,F,91,2:52:59,10379,Judith,Baizan ,USA,3/21/25,,Tampa FL USA,2/25/17,,14.6
15 km,F,92,2:38:58,9538,Judith,Baizan ,USA,3/21/25,"Gasparilla Distance Classic, 15K","Tampa, FL",2/24/18,,16.4
