Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
12 km,F,28,38:26,2306,Mamitu,Daska Molisa,ETH,10/16/83,Lilac Bloomsday Run 12K,Spokane WA USA,5/6/12,,,,,,,,68.2
12 km,F,29,37:50,2270,Molly,Huddle,USA,8/31/84,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,69.4
12 km,F,30,38:08,2288,Molly,Huddle,USA,8/31/84,.US National 12K,Alexandria VA USA,11/16/14,WB,,,,,,,68.8
12 km,F,31,38:36,2316,Molly,Huddle,USA,8/31/84,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,67.8
12 km,F,32,37:58,2278,Shalane,Flanagan,USA,7/8/81,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,69.1
12 km,F,33,39:05,2345,Alisha,Williams,USA,2/5/82,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,66.8
12 km,F,34,39:23,2363,Elana,Meyer,RSA,10/10/66,Lilac Bloomsday Run 12K,Spokane WA USA,5/6/01,,,,,,,,66.2
12 km,F,35,39:17,2357,Brianne,Nelson,USA,10/27/80,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,66.4
12 km,F,36,40:01,2401,Dulce-Maria,Rodriguez delaCruz,MEX,8/14/72,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/09,,,,,,,,65.0
12 km,F,37,39:58,2398,Kerryn,McCann,AUS,5/2/67,Lilac Bloomsday Run 12K,Spokane WA USA,5/1/05,,,,,,,,65.1
12 km,F,38,38:53,2333,Colleen,De Reuck,USA,4/16/64,Lilac Bloomsday Run 12K,Spokane WA USA,5/5/02,,,,,,,,67.2
12 km,F,39,40:22,2422,Colleen,De Reuck,USA,4/16/64,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/03,,,,,,,,64.4
12 km,F,40,40:31,2431,Jennifer,Rhines,USA,7/1/74,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,64.1
12 km,F,41,40:04,2404,Jennifer,Rhines,USA,7/1/74,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,64.9
12 km,F,42,40:49,2449,Firiya,Sultanova,RUS,4/29/61,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/03,,,,,,,,63.5
12 km,F,43,41:28,2488,Firiya,Sultanova,RUS,4/29/61,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/04,,,,,,,,62.4
12 km,F,44,42:04,2524,Perry,Shoemaker,USA,4/27/71,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,61.3
12 km,F,45,43:18,2598,Tatyana,Pozdniakova,UKR,3/4/55,Lilac Bloomsday Run 12K,Spokane WA USA,5/7/00,,,,,,,,59.3
12 km,F,46,42:56,2576,Priscilla,Welch,USA,11/22/44,Lilac Bloomsday Run 12K,Spokane WA USA,5/5/91,,,,,,,,59.9
12 km,F,47,42:58,2578,Priscilla,Welch,USA,11/22/44,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/92,,,,,,,,59.8
12 km,F,48,46:13,2773,Marilyn,Arsenault,USA,2/14/68,Lilac Bloomsday Run 12K,Spokane WA USA,5/1/16,,,,,,,,55.0
12 km,F,49,45:52,2752,Tatyana,Pozdniakova,UKR,3/4/55,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/04,,,,,,,,55.4
12 km,F,50,45:55,2755,Daniela,Gassmann,SUI,7/23/64,,Dietikon SUI,1/10/15,,,,,,,,55.4
12 km,F,51,47:05,2825,Sylvie,Thevenet,FRA,8/29/60,,La Creche FRA,12/18/11,,,,,,,,53.8
12 km,F,52,44:56,2696,Shirley,Matson,USA,11/7/40,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/93,,,,,,,,56.8
12 km,F,53,47:38,2858,Houria,Frechou,FRA,1/19/60,,Bayonne FRA,7/24/13,,,,,,,,53.1
12 km,F,54,48:33,2913,Joan,Ottaway,USA,3/16/44,,Orlando FL USA,2/20/99,,,,,,,,51.9
12 km,F,55,48:22,2902,Christine,Kennedy,USA,12/29/54,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/10,,,,,,,,52.1
12 km,F,56,49:04,2944,Carmen,Ayala-Troncoso,USA,4/2/59,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,51.3
12 km,F,57,46:27,2787,Joan,Samuelson,USA,5/16/57,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,54.6
12 km,F,58,49:39,2979,Rosalia,Zanoner,ITA,12/3/51,,Bolzano ITA,4/11/10,,,,,,,,50.6
12 km,F,59,51:43,3103,Shirley,Matson,USA,11/7/40,,Orlando FL USA,2/26/00,,,,,,,,48.2
12 km,F,60,50:49,3049,Barbara,Miller,USA,8/7/39,Lilac Bloomsday Run 12K,Spokane WA USA,5/7/00,,,,,,,,49.2
12 km,F,61,51:18,3078,Stefica,Gajic,SUI,11/12/48,,Dietikon SUI,1/9/10,,,,,,,,48.7
12 km,F,62,48:59,2939,Kathryn,Martin,USA,9/30/51,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,51.4
12 km,F,63,48:54,2934,Kathryn,Martin,USA,9/30/51,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,51.5
12 km,F,64,49:25,2965,Kathryn,Martin,USA,9/30/51,.US National 12K,Alexandria VA USA,11/15/15,,,,,,,,50.8
12 km,F,65,51:27,3087,Emmi,Luthi,SUI,3/1/44,,Kehrsatz SUI,4/4/09,,,,,,,,48.5
12 km,F,66,52:29,3149,Emmi,Luthi,SUI,3/1/44,,Kehrsatz SUI,5/8/10,,,,,,,,47.4
12 km,F,67,57:49,3469,Jo-Anne,Rowland,USA,4/1/48,Capital City Classic 12K,Sacramento CA USA,4/26/15,,,,,,,,42.3
12 km,F,68,1:02:04,3724,Judy,Fisher,USA,11/30/42,12Ks of Christmas,"Kirkland, WA",12/18/11,,,,,,,,39.0
12 km,F,69,1:01:08,3668,Algene,Williams,USA,2/5/16,Oktoberfast,"Itasca, IL",10/6/85,,,,,,,,39.7
12 km,F,70,58:22,3502,June,Machala,USA,1/1/31,Lilac Bloomsday Run 12K,Spokane WA USA,5/6/01,,,,,,,,41.9
12 km,F,71,1:01:44,3704,Sylvia ,Quinn,USA,10/23/36,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/08,,,,,,,,39.2
12 km,F,72,59:44,3584,June,Machala,USA,1/1/31,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/03,,,,,,,,40.8
12 km,F,73,1:02:06,3726,June,Machala,USA,1/1/31,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/04,,,,,,,,39.0
12 km,F,74,1:03:20,3800,June,Machala,USA,1/1/31,Lilac Bloomsday Run 12K,Spokane WA USA,5/1/05,,,,,,,,38.1
12 km,F,75,54:50,3290,Jeannie,Rice,USA,4/14/48,USATF Masters 12 km Championships,"Highlands, NJ",9/17/23,,,,,,,,45.0
12 km,F,76,1:05:01,3901,Heide,Moebius,USA,11/10/38,.US National 12K,Alexandria VA USA,11/20/14,,,,,,,,36.9
12 km,F,77,1:01:11,3671,Libby,James,USA,7/12/36,Lilac Bloomsday Run 12K,Spokane WA USA,5/4/14,,,,,,,,39.6
