Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
30 km,F,74,3:32:14,12734.0,Edith,Farias,USA,2/8/24,NYC Marathon Tune-Up,"New York, NY",8/30/98,,28.6
30 km,F,75,2:26:51,8811.0,Jeannie,Rice ,USA,4/14/1948,"Chicago Marathon, 30K split","Chicago, IL",10/8/2023,,44.6
,,76,,,,,,,,,,,
30 km,F,77,3:37:52,13072.0,Gerry,Davidson,USA,3/12/21,Benchmark Blast,San Diego CA USA,5/23/98,,27.7
30 km,F,78,3:54:42,14082.0,Gerry,Davidson,USA,3/12/21,Benchmark Blast,San Diego CA USA,4/17/99,,25.2
30 km,F,79,4:04:24,14664.0,Bess,James,USA,9/5/09,SCA/TAC Championship,"Ventura, CA",2/12/89,,23.9
,,80,,,,,,,,,,,
30 km,F,81,4:13:32,15212.0,Mavis,Lindgren,USA,4/2/07,Clarksburg Country Run 30K,Clarksburg CA USA,11/13/88,,22.8
30 km,F,82,4:17:53,15473.0,Mavis,Lindgren,USA,4/2/07,Clarksburg Country Run 30K,Clarksburg CA USA,11/12/89,,22.3
30 km,F,83,4:33:24,16404.0,Po,Adams,USA,7/4/24,Clarksburg Country Run 30K,Clarksburg CA USA,11/11/07,,20.7
