Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,Comments,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
10 Mile,M,29.0,45:37,2737.0,Ondoro,Osoro ,KEN,12/3/1967,,St Petersburg FL USA,10/18/1997,,,,,,,,80.2
10 Mile,M,30.0,45:52,2752.0,Shinji,Kawashima ,JPN,6/4/1966,,Kosa JPN,12/8/1996,,,,,,,,79.7
10 Mile,M,31.0,45:55,2755.0,Godfrey,Kiprotich Chirchir,KEN,11/23/1964,,Flint MI USA,8/24/1996,,,,,,,,79.6
10 Mile,M,32.0,44:23,2663.0,Haile,Gebreselasie ,ETH,4/18/1973,,Tilburg NED,9/4/2005,,,,,,,,82.8
10 Mile,M,33.0,46:29,2789.0,Richard,Nerurkar ,ENG,1/6/1964,,Woking ENG,3/2/1997,,,,,,,,78.4
10 Mile,M,34.0,46:05,2765.0,John,Korir Kipsang,KEN,12/15/1975,Cherry Blossom 10 Mile,Washington DC USA,4/11/2010,,,,,,,,79.2
10 Mile,M,35.0,46:10,2770.0,Simon,Karori ,KEN,8/28/1959,Cherry Blossom 10 Mile,Washington DC USA,4/9/1995,,,,,,,,79.1
10 Mile,M,36.0,46:25,2785.0,John,Treacy ,IRL,6/4/1957,,Portsmouth ENG,10/10/1993,,,,,,,,78.6
10 Mile,M,37.0,47:04,2824.0,Suehiro,Ishikawa ,JPN,9/27/1979,,Kosa JPN,11/27/2016,,,,,,,,77.3
10 Mile,M,38.0,47:06,2826.0,Martin,Mondragon Avila,MEX,11/11/1953,,New York NY USA,4/25/1992,,,,,,,,77.2
10 Mile,M,39.0,47:30,2850.0,Kenjiro,Jitsui ,JPN,12/16/1968,,Kosa JPN,12/7/2008,,,,,,,,76.5
10 Mile,M,40.0,47:00,2820.0,Haile,Gebreselasie ,ETH,4/18/1973,,Bern SUI,5/18/2013,,,,,,,,77.4
10 Mile,M,41.0,47:55,2875.0,John,Campbell ,NZL,2/6/1949,Crim 10 Mile,Flint MI USA,8/25/1990,,,,,,,,75.7
10 Mile,M,42.0,47:57,2877.0,Masaaki,Kobayashi ,JPN,5/19/1970,,Kosa JPN,12/2/2012,,,,,,,,75.6
10 Mile,M,43.0,47:26,2846.0,Jackson,Kipngok Yegon,KEN,8/16/1960,,Flint MI USA,8/23/2003,,,,,,,,76.6
10 Mile,M,44.0,49:23,2963.0,Martin,Rees ,WAL,2/28/1953,,Woking ENG,3/2/1997,,,,,,,,73.1
10 Mile,M,45.0,49:03,2943.0,Kevin,Castille ,USA,3/17/1972,Crim 10 Mile,Flint MI USA,8/26/2017,,,,,,,,73.7
10 Mile,M,46.0,50:05,3005.0,Martin,Rees ,WAL,2/28/1953,,Portsmouth ENG,9/19/1999,,,,,,,,71.9
10 Mile,M,47.0,51:28,3088.0,Martin,Rees ,WAL,2/28/1953,,Sandiacre ENG,8/20/2000,,,,,,,,69.7
10 Mile,M,48.0,52:55,3175.0,Michael,Hager ,ENG,9/6/1950,,Sandiacre ENG,8/22/1999,,,,,,,,67.4
10 Mile,M,49.0,51:01,3061.0,Martin,Rees ,WAL,2/28/1953,,Llandudno WAL,11/10/2002,,,,,,,,70.4
10 Mile,M,50.0,50:43,3043.0,Martin,Rees ,WAL,2/28/1953,,Woking ENG,3/30/2003,,,,,,,,70.9
10 Mile,M,51.0,52:23,3143.0,Ronald,Grove ,ENG,6/30/1938,,March ENG,7/2/1989,,,,,,,,68.2
10 Mile,M,52.0,53:03,3183.0,Stephen,James ,ENG,3/10/1938,,Inglemire ENG,3/2/1991,,,,,,,,67.2
10 Mile,M,53.0,51:45,3105.0,Martin,Rees ,WAL,2/28/1953,,Pontypridd WAL,2/4/2007,,,,,,,,69.2
10 Mile,M,54.0,54:06,3246.0,Martin,Rees ,WAL,2/28/1953,,Pontypridd WAL,2/3/2008,,,,,,,,65.7
10 Mile,M,55.0,53:21,3201.0,Martin,Rees ,WAL,2/28/1953,,Twickenham ENG,10/19/2008,,,,,,,,66.8
10 Mile,M,56.0,54:40,3280.0,Norman,Green ,USA,6/27/1932,Cherry Blossom 10 Mile,Washington DC USA,4/2/1989,,,,,,,,64.9
10 Mile,M,57.0,54:53,3293.0,Norman,Green ,USA,6/27/1932,Cherry Blossom 10 Mile,Washington DC USA,4/1/1990,,,,,,,,64.6
10 Mile,M,58.0,58:48,3528.0,John,Exley ,ENG,11/16/1947,,Lytham Saint Annes ENG,10/1/2006,,,,,,,,59.7
10 Mile,M,59.0,55:47,3347.0,Martin,Rees ,WAL,2/28/1953,,Llanelli WAL,2/17/2013,,,,,,,,63.4
10 Mile,M,60.0,55:02,3302.0,Martin,Rees ,WAL,2/28/1953,,Twickenham ENG,10/20/2013,,,,,,,,64.4
10 Mile,M,61.0,55:27,3327.0,Martin,Rees ,WAL,2/28/1953,,Lampeter WAL,4/20/2014,,,,,,,,63.9
10 Mile,M,62.0,55:54,3354.0,Martin,Rees ,WAL,2/28/1953,,Lampeter WAL,4/5/2015,,,,,,,,63.3
10 Mile,M,63.0,56:14,3374.0,Martin,Rees ,WAL,2/28/1953,,Lampeter WAL,3/27/2016,,,,,,,,62.8
10 Mile,M,64.0,1:00:09,3609.0,Ed,Whitlock ,CAN,3/6/1931,,Hamilton ON CAN,12/26/1995,,,,,,,,58.1
10 Mile,M,65.0,59:42,3584.0,Brian,Pilcher,USA,8/23/56,"River Oaks Invitational H Mar, 10 Mile Split","Houston, TX",10/30/2021,M65-69 AR (pending),,,,,,,58.6
10 Mile,,66.0,59:11,3551.0,Jacob,Nur,USA,8/17/1955,NorCal 10 Mile,"Redding, CA",2/5/2022,M65-69 AR (pending),,,,,,,59.2
10 Mile,M,67.0,1:01:26,3686.0,Ed,Whitlock ,CAN,3/6/1931,Crim 10 Mile,Flint MI USA,8/22/1998,,,,,,,,56.7
10 Mile,M,68.0,1:00:11,3611.0,Ed,Whitlock ,CAN,3/6/1931,,Toronto ON CAN,5/30/1999,,,,,,,,58.1
10 Mile,M,69.0,1:02:07,3727.0,Warren,Utes ,USA,6/25/1920,Park Forest Scenic 10 ,Park Forest IL USA,9/4/1989,,,,,,,,56.0
10 Mile,M,70.0,1:02:19,3739.0,Ed,Whitlock ,CAN,3/6/1931,,Burlington ON CAN,4/13/2001,,,,,,,,55.8
10 Mile,M,71.0,1:05:27,3927.0,Joop,Ruter ,NED,4/19/1933,,Brielle NED,12/5/2004,,,,,,,,52.7
10 Mile,M,72.0,1:02:25,3745.0,Ed,Whitlock ,CAN,3/6/1931,Crim 10 Mile,Flint MI USA,8/23/2003,,,,,,,,55.7
10 Mile,M,73.0,1:09:00,4140.0,Doug,Goodhue ,USA,2/21/1942,Crim 10 Mile,Flint MI USA,8/22/2015,,,,,,,,49.6
10 Mile,M,74.0,1:06:56,4016.0,Warren,Utes ,USA,6/25/1920,Park Forest Scenic 10 ,Park Forest IL USA,9/5/1994,,,,,,,,51.4
10 Mile,M,75.0,1:06:27,3987.0,Warren,Utes ,USA,6/25/1920,Park Forest Scenic 10 ,Park Forest IL USA,9/4/1995,,,,,,,,51.8
10 Mile,M,76.0,1:09:40,4180.0,Warren,Utes ,USA,6/25/1920,Park Forest Scenic 10 ,Park Forest IL USA,9/2/1996,,,,,,,,49.0
10 Mile,M,77.0,1:09:56,4196.0,Warren,Utes ,USA,6/25/1920,Park Forest Scenic 10 ,Park Forest IL USA,9/1/1997,,,,,,,,48.8
10 Mile,M,78.0,1:11:39,4299.0,Warren,Utes ,USA,6/25/1920,Crim 10 Mile,Flint MI USA,8/22/1998,,,,,,,,47.5
10 Mile,M,79.0,1:12:36,4356.0,Warren,Utes ,USA,6/25/1920,Park Forest Scenic 10 ,Park Forest IL USA,9/6/1999,,,,,,,,46.8
10 Mile,M,80.0,1:14:57,4497.0,Warren,Utes ,USA,6/25/1920,Park Forest Scenic 10 ,Park Forest IL USA,9/4/2000,,,,,,,,45.1
10 Mile,M,81.0,1:13:23,4403.0,Ed,Benham,USA,7/12/07,Cherry Blossom 10 Mile,Washington DC USA,4/2/1989,,,,,,,,46.2
10 Mile,M,82.0,1:20:56,4856.0,Ed,Benham,USA,7/12/07,Cherry Blossom 10 Mile,Washington DC USA,4/1/1990,,,,,,,,41.2
10 Mile,M,83.0,1:22:25,4945.0,Ed,Benham,USA,7/12/07,Cherry Blossom 10 Mile,Washington DC USA,4/7/1991,,,,,,,,40.4
10 Mile,M,84.0,1:23:11,4991.0,Ed,Benham,USA,7/12/07,Annapolis Run,"Annapolis, MD",8/25/1991,,,,,,,,39.9
10 Mile,M,85.0,1:35:10,5710.0,Louis,Lodovico ,USA,2/28/1924,Cherry Blossom 10 Mile,Washington DC USA,4/5/2009,,,,,,,,34.1
10 Mile,M,86.0,1:51:04,6664.0,Jerry,Johncock ,USA,2/2/1928,Crim 10 Mile,Flint MI USA,8/23/2014,,,,,,,,28.4
10 Mile,M,87.0,1:52:29,6749.0,Jerry,Johncock ,USA,2/2/1928,Crim 10 Mile,Flint MI USA,8/22/2015,,,,,,,,27.9
10 Mile,M,90.0,2:35:52,9352.0,James,Ramsey,USA,10/22/1907,Crim 10 Mile,Flint MI USA,8/22/1998,,,,,,,,18.6
10 Mile,M,91.0,3:00:08,10808.0,James,Ramsey,USA,10/22/1907,Crim 10 Mile,Flint MI USA,8/28/1999,,,,,,,,15.3
10 Mile,M,92.0,3:17:08,11828.0,James,Ramsey,USA,10/22/1907,Crim 10 Mile,Flint MI USA,8/26/2000,,,,,,,,13.5
10 Mile,M,93.0,3:13:03,11583.0,James,Ramsey,USA,10/22/1907,Crim 10 Mile,Flint MI USA,8/25/2001,,,,,,,,13.9
,,,,,, ,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,
