Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
12 km,M,71,49:20,2960,Doug,Goodhue,USA,2/21/42,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,50.9
12 km,M,72,48:38,2918,Doug,Goodhue,USA,2/21/42,.US National 12K,Alexandria VA USA,11/16/14,,,,,,,,51.8
12 km,M,73,48:55,2935,Warren,Utes,USA,6/25/20,Frankfort/Kennedy Torch,"Frankfort, IL",8/28/93,,,,,,,,51.4
12 km,M,74,50:28,3028,Warren,Utes,USA,6/25/20,Frankfort/Kennedy Torch,"Frankfort, IL",8/27/94,,,,,,,,49.6
12 km,M,75,48:57,2937,Warren,Utes,USA,6/25/20,Park Forest Scenic 10 Mile (12K split),"Park Forest, IL",9/4/95,,,,,,,,51.4
12 km,M,76,50:56,3056,Warren,Utes,USA,6/25/20,Frankfort/Kennedy Torch,"Frankfort, IL",8/24/96,,,,,,,,49.1
12 km,M,77,55:12,3312,John,Keston,USA,12/5/24,Lilac Bloomsday Run 12K,Spokane WA USA,5/5/02,,,,,,,,44.7
12 km,M,78,58:41,3521,John,Keston,USA,12/5/24,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/03,,,,,,,,41.6
12 km,M,79,59:43,3583,Bill,Iffrig,USA,6/13/34,12Ks of Christmas,"Kirkland, WA",12/15/13,,,,,,,,40.8
12 km,M,80,56:42,3402,John,Keston,USA,12/5/24,Lilac Bloomsday Run 12K,Spokane WA USA,5/1/05,original time was wrong,,,,,,,43.3
12 km,M,81,1:09:05,4145,Cyril,Woods,USA,11/19/01,Run Between The States,"Portland, OR",5/15/83,,,,,,,,34.4
12 km,M,82,1:08:15,4095,John,Keston,USA,12/5/24,Lilac Bloomsday Run 12K,Spokane WA USA,5/6/07,,,,,,,,34.9
12 km,M,83,1:13:32,4412,Paul,Flanagan,USA,7/3/31,Capital City Classic 12K,Sacramento CA USA,4/26/15,,,,,,,,31.9
12 km,M,84,1:12:44,4364,John,Keston,USA,12/5/24,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/09,,,,,,,,32.4
12 km,M,85,1:16:14,4574,John,Keston,USA,12/5/24,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/10,Went with net time,,,,,,,30.6
12 km,M,86,1:19:13,4753,George,Boulden,USA,7/10/16,Lilac Bloomsday Run 12K,Spokane WA USA,5/3/03,,,,,,,,29.2
12 km,M,87,1:16:13,4573,George,Boulden,USA,7/10/16,Lilac Bloomsday Run 12K,Spokane WA USA,5/2/04,,,,,,,,30.6
12 km,M,88,1:52:44,6764,Dixon,Hemphill,USA,1/10/25,.US National 12K,"Alexandria, VA",11/17/13,,,,,,,,18.9
12 km,M,91,1:34:40,5640,Roy,Englert,USA,9/11/22,.US National 12K,Alexandria VA USA,11/17/13,,,,,,,,23.8
