Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
15 km,M,35,42:02,2522.0,Gilbert,Masai ,KEN,5/20/81,,Copenhagen DEN,9/18/16,,,,,,,,80.9
15 km,M,36,43:48,2628.0,Chris,Fox ,USA,10/22/58,Gates River Run 15k ,Jacksonville FL USA,3/11/95,,,,,,,,77.1
15 km,M,37,43:20,2600.0,Carlos,Lopes ,POR,2/18/47,,El Paso TX USA,10/13/84,,,,,,,,78.1
15 km,M,38,42:44,2564.0,Haile,Gebreselasie ,ETH,4/18/73,,Nijmegen NED,11/20/11,,,,,,,,79.3
15 km,M,39,43:41,2621.0,Joseph,Nzau ,KEN,4/14/50,Cascade Run Off,Portland OR USA,6/18/89,,,,,,,,77.3
15 km,M,40,44:14,2654.0,Pierre,Levisse ,FRA,2/21/52,Cascade Run Off,Portland OR USA,6/28/92,,,,,,,,76.2
15 km,M,41,44:30,2670.0,Martin,Mondragon Avila,MEX,11/11/53,Gasparilla Distance Classic 15K,Tampa FL USA,2/18/95,,,,,,,,75.7
15 km,M,42,45:07,2707.0,Antonio,Villanueva ,MEX,7/25/40,,Phoenix AZ USA,2/20/83,,,,,,,,74.5
15 km,M,43,45:12,2712.0,Willie,Kosgei Kipsubei,KEN,2/1/51,,Ratekau GER,6/12/94,,,,,,,,74.3
15 km,M,44,44:57,2697.0,Luketz,Swartbooi ,NAM,2/6/66,,Cape Town RSA,3/13/10,,,,,,,,74.8
15 km,M,45,45:56,2756.0,Mbarak,Hussein ,USA,4/4/65,Utica Boilermaker 15K,Utica NY USA,7/11/10,,,,,,,,72.9
15 km,M,46,45:37,2737.0,Kevin ,Castille,USA,3/17/72,Utica Boilermaker 15K,"Utica, NY",7/8/18,,,,,,,,73.5
15 km,M,47,46:08,2768.0,Stephen,Moneghetti ,AUS,9/26/62,,Ballarat AUS,6/19/10,,,,,,,,72.5
15 km,M,48,47:13,2833.0,Stephen,Moneghetti ,AUS,9/26/62,,Ballarat AUS,4/1/11,,,,,,,,70.6
15 km,M,49,47:49,2869.0,Stephen,Moneghetti ,AUS,9/26/62,,Ballarat AUS,6/9/12,,,,,,,,69.6
15 km,M,50,47:52,2872.0,Titus,Mamabolo ,RSA,1/11/41,,Cape Town RSA,11/2/91,,,,,,,,69.5
15 km,M,51,49:15,2955.0,Norm,Green,USA,6/27/32,Dynamis,"Fayetteville, NY",5/13/84,,,,,,,,67.2
15 km,M,52,48:59,2939.0,Vladimir,Kotov ,BLR,2/21/58,,Cape Town RSA,3/13/10,,,,,,,,67.6
15 km,M,53,49:24,2934.0,Norm,Green,USA,6/27/32,Cascade Run Off,"Portland, OR",6/30/85,,,,,,,,67.8
15 km,M,54,50:07,3007.0,Norm,Green,USA,6/27/32,Gasparilla Distance Classic 15K,"Tampa, FL",2/7/87,,,,,,,,65.9
15 km,M,54,51:47,3107.0,Vladimir,Kotov ,BLR,2/21/58,,Cape Town RSA,3/10/12,,,,,,,,63.4
15 km,M,55,50:22,3022.0,Sean,Wade,USA,2/3/66,"River Oaks Invitational H Mar, 15 km Split","Houston, TX",2/6/21,,,,,,,,65.5
15 km,M,56,50:57,3057.0,Alex,Ratelle,USA,9/12/24,Minnesota Masters/Dannon,"Minneapolis, MN",8/29/81,,,,,,,,64.6
15 km,M,57,51:18,3078.0,Norm,Green,USA,6/27/32,Cherry Blossom 10 Mile (15K split),"Washington, DC",4/1/90,,,,,,,,64.1
15 km,M,58,52:33,3153.0,Norm,Green,USA,6/27/32,Minnesota TAC Masters,"Edina, MN",9/23/90,,,,,,,,62.3
15 km,M,59,53:29,3209.0,Fay,Bradley ,USA,1/13/38,Tulsa Run,"Tulsa, OK",10/25/97,,,,,,,,61.1
15 km,M,60,54:20,3260.0,Norm,Green,USA,6/27/32,Gasparilla Distance Classic 15K,"Tampa, FL",2/27/93,,,,,,,,60.0
15 km,M,61,54:47,3287.0,Norman,Green ,USA,6/27/32,Stockade-athon 15K,Schenectady NY USA,11/7/93,,,,,,,,59.4
15 km,M,62,54:23,3263.0,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/25/78,,,,,,,,59.9
15 km,M,63,55:48,3348.0,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/24/79,,,,,,,,58.1
15 km,M,64,55:09,3309.0,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/29/80,,,,,,,,58.9
15 km,M,65,55:16,3316.0,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/28/81,,,,,,,,58.8
15 km,M,66,56:41,3401.0,Ed,Whitlock ,CAN,3/6/31,Utica Boilermaker 15K,Utica NY USA,6/13/97,,,,,,,,57.1
15 km,M,67,57:29,3449.0,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/26/83,,,,,,,,56.2
15 km,M,68,55:38,3338.0,Ed,Whitlock ,CAN,3/6/31,Utica Boilermaker 15K,Utica NY USA,7/11/99,,,,,,,,58.3
15 km,M,69,55:04,3304.0,Ed,Whitlock ,CAN,3/6/31,Utica Boilermaker 15K,Utica NY USA,7/9/00,,,,,,,,59.0
15 km,M,70,58:19,3338.0,Ed,Whitlock ,CAN,3/6/31,,Guelph ON CAN,4/29/01,,,,,,,,58.3
15 km,M,71,59:29,3569.0,Joop,Ruter ,NED,4/19/33,,Papendrecht NED,5/8/04,,,,,,,,54.0
15 km,M,72,58:55,3535.0,Ed,Whitlock ,CAN,3/6/31,Utica Boilermaker 15K,Utica NY USA,7/13/03,,,,,,,,54.6
15 km,M,73,58:57,3537.0,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/14/04,,,,,,,,54.6
15 km,M,74,59:43,3583.0,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/13/05,,,,,,,,53.7
15 km,M,75,1:00:29,3629.0,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/12/06,,,,,,,,53.0
15 km,M,76,1:08:00,4080.0,Doug,Goodhue,USA,2/21/42,USATF Masters 15K Championships,"Tulsa, OK",10/27/18,,,,,,,,46.2
15 km,M,77,1:07:09,4029.0,Ed,Bedham,USA,7/12/07,Gasparilla Distance Classic 15K,"Tampa, FL",2/9/85,,,,,,,,46.9
15 km,M,78,1:06:13,3973.0,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/8/09,,,,,,,,47.7
15 km,M,79,1:06:46,4006.0,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/7/10,,,,,,,,47.2
15 km,M,80,1:07:05,4025.0,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/13/11,,,,,,,,47.0
15 km,M,81,1:15:41,4541.0,Joop,Ruter ,NED,4/19/33,,Nijmegen NED,11/16/14,,,,,,,,40.8
15 km,M,82,1:09:11,4151.0,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/10/13,,,,,,,,45.3
15 km,M,83,1:08:37,4117.0,Ed,Bedham,USA,7/12/07,Cherry Blossom 10 Mile (15K split),"Washington, DC",4/7/91,,,,,,,,45.8
15 km,M,84,1:14:38,4478.0,Ed,Bedham,USA,7/12/07,Tulsa Run 15K,"Tulsa, OK",11/2/91,,,,,,,,41.5
15 km,M,85,1:15:10,4510.0,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/13/16,,,,,,,,41.2
15 km,M,86,1:35:20,5720.0,Paul,Spangler,USA,3/18/1899,Duke Classic,NC,5/18/85,,,,,,,,31.1
15 km,M,87,1:41:24,6084.0,Lou,Lodovico,USA,2/28/24,Buffalo 15K,"Buffalo, NY",9/5/11,,,,,,,,28.9
15 km,M,88,2:06:11,7571.0,Louis,Lodovico ,USA,2/28/24,Buffalo 15K,Buffalo NY USA,9/3/12,,,,,,,,22.1
15 km,M,90,2:01:41,7301.0,Henry,Sypniewski ,USA,7/7/18,Buffalo 15K,Buffalo NY USA,9/1/08,,,,,,,,23.2
15 km,M,91,2:09:24,7764.0,Henry,Sypniewski ,USA,7/7/18,Buffalo 15K,Buffalo NY USA,9/7/09,,,,,,,,21.4
,,,,,, ,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,
,,0y0d,0,0.0,Jacob,Kiplimo,UGA,11/14/00,,,11/19/23,,,,,,,,
