Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
5 km,M,65,17:24,1044,Ed,Whitlock,CAN,3/6/31,,Buffalo NY USA,8/30/96,,58.6
5 km,M,66,17:24,1044,Ed,Whitlock,CAN,3/6/31,,Buffalo NY USA,8/29/97,,58.6
5 km,M,67,17:00,1020,Jacob,Nur,USA,8/17/55,,,11/24/22,,60.2
5 km,M,68,17:39,1059,Ed,Whitlock,CAN,3/6/31,,Buffalo NY USA,9/3/99,,57.6
5 km,M,69,17:34,1054,Ed,Whitlock,CAN,3/6/31,,Toronto ON CAN,7/22/00,,57.9
5 km,M,70,18:01,1081,Warren,Utes,USA,6/25/20,Park Ridge Charity Classic,"Park Ridge, IL",9/30/90,,56.3
5 km,M,71,18:42,1122,Warren,Utes,USA,6/25/20,Berwyn 5000,"Berwyn, IL",5/16/92,,53.9
5 km,M,72,18:32,1112,Ed,Whitlock,CAN,3/6/31,,Buffalo NY USA,8/29/03,,54.4
5 km,M,73,18:22,1102,Ed,Whitlock,CAN,3/6/31,,Toronto ON CAN,7/16/04,,55.0
5 km,M,74,19:06,1146,Ed,Whitlock,CAN,3/6/31,,Toronto ON CAN,7/15/05,,52.6
5 km,M,75,18:45,1125,Ed,Whitlock,CAN,3/6/31,,Toronto ON CAN,7/14/06,,53.7
5 km,M,76,19:40,1180,Warren,Utes,USA,6/25/20,Alden/Norsom 5K,"Naperville, IL",10/5/96,,50.8
5 km,M,77,20:03,1203,Warren,Utes,USA,6/25/20,,Chicago IL USA,7/20/97,,49.7
5 km,M,78,21:53,1203,Joseph,Gigante,USA,,,MA,4/9/95,,49.7
5 km,M,79,22:19,1339,Charles,Rose,USA,3/6/33,CPCC Skyline 5K,"Charlotte, NC",4/30/11,,43.8
5 km,M,80,22:14,1334,Warren,Utes,USA,6/25/20,Band On The Run 5K,"Orland Park, IL",6/25/00,,44.0
5 km,M,81,21:59,1319,Warren,Utes,USA,6/25/20,Flossmoor Fest,"Flossmoor, IL",9/15/01,,44.6
5 km,M,82,23:54,1434,Stephen,Charlton,ENG,10/4/26,,Battersea ENG,7/28/09,,40.4
5 km,M,83,24:22,1462,Geoffrey,Etherington,USA,12/22/28,Standown House 5K,"West Palm Beach, FL",2/18/12,,39.5
5 km,M,84,25:07,1507,Stephen,Charlton,ENG,10/4/26,,Horwich ENG,6/19/11,,38.1
5 km,M,85,24:57,1497,Stephen,Charlton,ENG,10/4/26,,London ENG,8/21/12,,38.4
5 km,M,86,28:21,1701,Jerry,Johncock,USA,2/2/28,Brian Diemer 5K,"Cutlerville, MI",6/14/14,,33.0
5 km,M,87,29:37,1777,Henry,Sypniewski,USA,7/7/18,Nickel City 5K,"Buffalo, NY",9/2/05,,31.3
5 km,M,88,26:37,1597,Hugh,Campbell,USA,8/25/24,,Haddonfield NJ USA,3/16/13,,35.6
5 km,M,89,32:57,1977,Robert,McKeague,USA,2/17/25,Park Ridge Charity Classic 5K,"Park Ridge, IL",9/27/14,,27.5
5 km,M,90,33:46,2026,Henry,Sypniewski,USA,7/7/18,,Syracuse NY USA,10/5/08,,26.7
5 km,M,91,38:53,2333,Henry,Sypniewski,USA,7/7/18,,Syracuse NY USA,10/4/09,,22.5
5 km,M,92,40:13,2413,Henry,Sypniewski,USA,7/7/18,Bob Ivory 5k,"Buffalo, NY",11/7/10,,21.5
5 km,M,93,45:47,2747,Henry,Sypniewski,USA,7/7/18,Bob Ivory 5k,"Buffalo, NY",11/6/11,,18.3
5 km,M,94,43:52,2632,Roy,Englert,USA,9/11/22,,Birmingham AL USA,6/12/17,,19.3
5 km,M,95,40:52,2452,Roy,Englert,USA,9/11/22,USATF Master's 5 km Championships,Syracuse NY USA,10/1/17,,21.1
