Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,VDOT
30 km,M,37,1:31:44,5504,Kenjiro,Jitsui,JPN,12/16/68,,Ome JPN,2/19/06,,,,,,,,77.0
30 km,M,38,1:34:00,5640,Stephen,Ndungu Muchiri,KEN,6/1/67,,Nairobi KEN,1/20/06,,,,,,,,74.9
30 km,M,39,1:32:38,5558,Jean-Damascene,Habarurema,FRA,12/4/76,,Berlin GER,9/25/16,,,,,,,,76.1
30 km,M,40,1:29:45,5385,Mark,Kiptoo Kosgei,KEN,6/21/76,,Berlin GER,9/25/16,,,,,,,,79.0
30 km,M,41,1:36:23,5783,Adriano,Brentegani,ITA,9/3/62,,Novellara ITA,3/28/04,,,,,,,,72.7
30 km,M,42,1:35:28,5728,Geraldo,Antonio daSilva,BRA,5/31/60,,Cascavel BRA,12/15/02,,,,,,,,73.5
30 km,M,43,1:40:22,6022,Brad,Hawthorne,USA,11/29/55,,Clarksburg CA USA,11/14/99,,,,,,,,69.4
30 km,M,44,1:38:09,5889,Erik-Verner,Ostbye,SWE,1/25/21,,Uppsala SWE,7/10/65,,,,,,,,71.2
30 km,M,45,1:39:18,5958,Bill,Rodgers,USA,12/23/47,,Hamilton ON CAN,3/28/93,,,,,,,,70.3
30 km,M,46,1:35:23,5723,John,Maundu Nthiwa,KEN,6/19/55,,Nairobi KEN,2/1/02,,,,,,,,73.6
30 km,M,47,1:45:43,6343,Jim,McDonagh,USA,2/14/24,National Senior AAU,"Rockville, MD",3/28/71,,,,,,,,65.4
30 km,M,48,1:37:08,5828,Erik-Verner,Ostbye,SWE,1/25/21,,Falkenberg SWE,7/13/69,,,,,,,,72.1
30 km,M,49,1:43:56,6236,Ed,Stabler,USA,5/30/29,,NY,3/18/79,,,,,,,,66.7
30 km,M,50,1:49:32,6572,Fritz,Mueller,USA,5/11/36,,MN,10/12/86,,,,,,,,62.7
30 km,M,51,1:46:42,6402,Norman,Green,USA,6/27/32,Central Park,"New York, NY",12/17/83,,,,,,,,64.7
30 km,M,52,1:51:20,6680,Vladimir,Kotov,BLR,2/21/58,,Parow RSA,3/21/10,,,,,,,,61.6
30 km,M,53,1:46:47,6407,Vladimir,Kotov,BLR,2/21/58,,Parow RSA,4/3/11,,,,,,,,64.6
30 km,M,54,1:49:41,6581,Vladimir,Kotov,BLR,2/21/58,,Parrow RSA,3/25/12,,,,,,,,62.6
30 km,M,55,1:51:36,3096,David,Sweeney,AUS,9/26/61,,Brisbane AUS,6/4/17,,,,,,,,152.0
30 km,M,56,1:46:33,6393,Norman,Green,USA,6/27/32,,Clarksburg CA USA,11/13/88,,,,,,,,64.8
30 km,M,57,1:49:14,6554,Norman,Green,USA,6/27/32,,Clarksburg CA USA,11/12/89,,,,,,,,62.9
30 km,M,58,1:54:32,6872,Steven,Deram,BEL,1/10/55,,Schoorl NED,2/10/13,,,,,,,,59.6
30 km,M,59,2:01:38,7298,Inocencio,Cantu,USA,12/28/33,First Colony,"Sugar Land, TX",12/11/93,,,,,,,,55.6
30 km,M,60,1:50:53,6653,Brian,Pilcher,USA,8/23/56,Chicago Marathon (30K split),"Chicago, IL",10/9/16,,,,,,,,61.9
30 km,M,61,2:00:41,7241,Jim,O'Neil,USA,5/14/25,Twin Cities Marathon (30K Split),"Minneapolis, MN",10/12/86,,,,,,,,56.1
30 km,M,62,2:04:14,7454,Warren,Utes,USA,6/25/20,Midwest Masters,IL,12/26/82,,,,,,,,54.2
30 km,M,63,1:57:07,7027,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/27/94,,,,,,,,58.1
30 km,M,64,2:00:26,7226,Joe,Burgasser,USA,9/13/38,Paul Debruyn,"Ormond Beach, FL",11/23/02,,,,,,,,56.2
30 km,M,65,2:08:46,7726,George,Sheehan,USA,11/5/18,,NY,3/18/84,,,,,,,,52.0
30 km,M,66,1:58:12,7092,Clive,Davies,USA,8/17/15,Oregon Track Club,"Portland, OR",2/6/82,,,,,,,,57.4
30 km,M,67,2:14:11,8051,Peter,vanVeen,NED,12/18/48,,Schoorl NED,2/14/16,,,,,,,,49.6
30 km,M,68,1:58:39,7119,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/28/99,,,,,,,,57.2
30 km,M,69,1:57:40,7060,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/26/00,,,,,,,,57.7
30 km,M,70,2:00:56,7256,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/25/01,,,,,,,,55.9
30 km,M,71,2:13:01,7981,Clive,Davies,USA,1/2/00,Twin Cities Marathon (30K Split),"Minneapolis, MN",10/12/86,,,,,,,,50.1
30 km,M,72,2:26:38,8798,Eddie,Lewin,USA,8/4/16,Festiva,"Santa Barbara, CA",9/10/88,,,,,,,,44.7
30 km,M,73,2:03:50,7430,Ed,Whitlock,CAN,3/6/31,,Hamilton ON CAN,3/28/04,,,,,,,,54.4
30 km,M,74,2:36:40,9400,Ed,Benham,USA,7/12/07,TAC 50Km (30K split),"Washington, DC",3/13/82,,,,,,,,41.3
30 km,M,75,2:43:14,9794,Paul,Reese,USA,4/17/17,Clarksburg Country Run 30K,"Clarksburg, CA",11/15/92,,,,,,,,39.4
30 km,M,76,3:08:34,11314,Edward,McKean-Smith,USA,7/1/19,,OR,9/29/85,,,,,,,,33.1
30 km,M,77,2:50:29,10229,Sam,Hirabayashi,USA,5/24/27,,Clarksburg CA USA,11/14/04,,,,,,,,37.4
30 km,M,78,2:28:00,8880,Ed,Benham,USA,7/12/07,TAC National Championship,"Sugar Land, TX",12/7/85,,,,,,,,44.2
30 km,M,80,2:45:26,9926,Jerry,Johncock,USA,2/2/28,Milford Labor Day Run 30K,Milford MI USA,8/30/08,,,,,,,,38.7
30 km,M,81,2:58:32,10712,Jerry,Johncock,USA,2/2/28,Milford Labor Day Run 30K,Milford MI USA,9/5/09,,,,,,,,35.3
30 km,M,82,2:55:11,10511,Jerry,Johncock,USA,2/2/28,Milford Labor Day Run 30K,Milford MI USA,9/4/10,,,,,,,,36.2
30 km,M,83,3:29:08,12548,Jerry,Johncock,USA,2/2/28,Milford Labor Day Run 30K,Milford MI USA,9/3/11,,,,,,,,29.1
30 km,M,85,4:15:47,15362,Jerry,Johncock,USA,2/2/28,Milford Labor Day Run 30K,Milford MI USA,8/31/13,,,,,,,,22.5
30 km,M,89,4:39:30,16770,Paul,Spangler,USA,3/18/1899,Clarksburg Country Run 30K,"Clarksburg, CA",11/13/88,,,,,,,,20.1
