Event,Gender,Age,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COMMENTS,VDOT
10 km,M,39.0,27:39,1659.0,Haile,Gebreselasie ,ETH,4/18/73,,Manchester ENG,5/20/12,,80.2
10 km,M,40.0,27:48,1668.0,Bernard,Lagat ,USA,12/12/74,,Manchester ENG,5/10/15,,79.7
10 km,M,41.0,28:42,1722.0,Andrea,Sipe Sambu,TAN,12/30/72,,Dar es Salaam TAN,2/2/14,,76.7
10 km,M,42.0,28:13,1693.0,Bernard,Lagat ,USA,12/12/74,,Manchester ENG,5/28/17,,78.3
10 km,M,43.0,29:00,1740.0,Nelson,Chirchir ,KEN,6/16/56,,Paris FRA,11/7/99,,75.8
10 km,M,44.0,29:04,1744.0,Kevin,Castille ,USA,3/17/72,,Houston TX USA,3/4/17,,75.6
10 km,M,45.0,29:08,1748.0,Kevin,Castille ,USA,3/17/72,Rodeo Run 10K,"Houston, TX",2/24/18,,75.4
10 km,M,46.0,30:00,1800.0,Stephen,Moneghetti ,AUS,9/26/62,,Launceston AUS,7/19/09,,72.8
10 km,M,47.0,29:58,1798.0,Kevin,Castille ,USA,3/17/72,Cooper River Bridge Run 10K,"Charleston, SC",4/6/19,,72.9
10 km,M,48.0,30:51,1851.0,Antonio,Villanueva ,MEX,7/25/40,,Orlando FL USA,3/11/89,,70.4
10 km,M,49.0,30:59,1859.0,Martin,Rees ,WAL,2/28/53,,Cardiff WAL,9/8/02,,70.1
10 km,M,50.0,30:35,1835.0,Tecwyn,Davies ,GBR,5/5/38,,Reading ENG,10/16/88,,71.2
10 km,M,51.0,31:27,1887.0,Stephen,Moneghetti ,AUS,9/26/62,,Melbourne AUS,10/13/13,,68.9
10 km,M,52.0,31:47,1907.0,Vladimir,Kotov ,BLR,2/21/58,,Cape Town RSA,3/20/10,,68.0
10 km,M,53.0,31:45,1905.0,Martin,Rees ,WAL,2/28/53,,Bourton on the Water ENG,2/25/07,,68.1
10 km,M,54.0,32:04,1924.0,Martin,Rees ,WAL,2/28/53,,Llanelli WAL,6/24/07,,67.3
10 km,M,55.0,32:02,1922.0,Martin,Rees ,WAL,2/28/53,,Leeds ENG,11/23/08,,67.4
10 km,M,56.0,32:59,1979.0,Jim,O'Neill,,,Blade Run 10K,"Toledo, OH",9/25/94,,65.1
10 km,M,57.0,33:24,2004.0,Aart,Stigter ,NED,9/15/56,,Nunspeet NED,11/9/13,,64.2
10 km,M,58.0,32:31,1951.0,Michael,Hager ,ENG,9/6/50,,Leeds ENG,11/23/08,,66.2
10 km,M,59.0,33:12,1992.0,Martin,Rees ,WAL,2/28/53,,Cardiff WAL,9/9/12,,64.6
10 km,M,60.0,32:48,1968.0,Martin,Rees ,WAL,2/28/53,,Cardiff WAL,9/8/13,,65.5
10 km,M,61.0,33:27,2007.0,Martin,Rees ,WAL,2/28/53,,Swansea WAL,9/21/14,,64.0
10 km,M,62.0,33:20,2000.0,Martin,Rees ,WAL,2/28/53,,Cardiff WAL,9/6/15,,64.3
10 km,M,63.0,35:20,2120.0,Ed,Whitlock ,CAN,3/6/31,,Toronto ON CAN,9/11/94,,60.1
10 km,M,64.0,36:01,2161.0,Alan,Davies ,WAL,8/12/52,,Cardiff WAL,9/11/16,,58.7
10 km,M,65.0,35:49,2149.0,Peter,Lessing ,GER,3/18/41,,Rheinzabern GER,4/15/06,,59.1
10 km,M,66.0,35:36,2136.0,Albert,Anderegg ,SUI,6/16/45,,Lyss SUI,3/31/12,,59.5
10 km,M,67.0,35:40,2140.0,Patrick,Roussel ,FRA,3/19/47,,Ales FRA,11/9/14,,59.4
10 km,M,68.0,36:47,2207.0,Patrick,Roussel ,FRA,3/19/47,,Ales FRA,11/8/15,,57.3
10 km,M,69.0,36:11,2171.0,Ed,Whitlock ,CAN,3/6/31,,Grimsby ON CAN,6/27/00,,58.4
10 km,M,70.0,37:49,2269.0,Warren,Utes ,USA,6/25/20,Condell Distance Classic,"Libertyville, IL",9/23/90,,55.5
10 km,M,71.0,39:14,2354.0,Joop,Ruter ,NED,4/19/33,,Rotterdam NED,10/9/04,,53.1
10 km,M,72.0,38:17,2297.0,Ed,Whitlock ,CAN,3/6/31,,Toronto ON CAN,9/7/03,,54.7
10 km,M,73.0,37:33,2253.0,Ed,Whitlock ,CAN,3/6/31,,Toronto ON CAN,9/12/04,,55.9
10 km,M,74.0,39:04,2344.0,Ed,Whitlock ,CAN,3/6/31,,Toronto ON CAN,9/11/05,,53.4
10 km,M,75.0,40:10,2410.0,Ed,Whitlock ,CAN,3/6/31,,Toronto ON CAN,9/10/06,,51.7
10 km,M,76.0,40:14,2414.0,Ed,Whitlock ,CAN,3/6/31,,Grimsby ON CAN,6/26/07,,51.6
10 km,M,77.0,43:56,2636.0,Stephen,Charlton ,ENG,10/4/26,,Portsmouth ENG,9/12/04,,46.6
10 km,M,78.0,43:06,2586.0,Warren,Utes ,USA,6/25/20,Pac Sun 10K,Kentfield CA USA,9/7/98,,47.6
10 km,M,79.0,45:17,2717.0,Ed,Benham,USA,,,NJ,8/8/86,,44.9
10 km,M,80.0,42:58,2578.0,Ed,Whitlock ,CAN,3/6/31,,Toronto ON CAN,9/11/11,,47.8
10 km,M,81.0,45:18,2718.0,Stephen,Charlton ,ENG,10/4/26,,Prestwold Hall ENG,6/29/08,,44.9
10 km,M,82.0,44:22,2662.0,Ed,Whitlock ,CAN,3/6/31,,Toronto ON CAN,9/8/13,,46.0
10 km,M,83.0,48:29,2909.0,Ed,Benham,USA,,,,,,41.5
10 km,M,84.0,48:57,2937.0,Ed,Benham,USA,,,,,,41.0
10 km,M,85.0,52:54,3174.0,Luciano,Acquarone ,ITA,10/4/30,,Vado Ligure ITA,10/18/15,,37.5
10 km,M,86.0,58:52,3532.0,Jerry,Johncock ,USA,2/2/28,,Decatur MI USA,8/9/14,,33.0
10 km,M,87.0,1:00:50,3650.0,Raymond,Bonet ,FRA,12/16/26,,Tulle FRA,9/13/14,,31.8
10 km,M,88.0,1:02:08,3728.0,Daniel,Futrell,,,,CA,3/8/92,,31.0
10 km,M,89.0,1:10:03,4203.0,Ernest,Van Leeuwen,USA,,Paramount 10K,"Paramount, CA",1/12/02,,26.8
10 km,M,90.0,1:11:54,4314.0,Julian,Bernal Medina,ESP,2/16/19,,Ribadavia ESP,4/19/09,,26.0
10 km,M,91.0,1:15:20,4520.0,Paul,Spangler,USA,3/18/1899,Paramount 10K,"Paramount, CA",1/19/91,,24.6
10 km,M,92.0,1:21:28,4888.0,George,Etzweiler,USA,,Arts Festival 10k ,"State College, PA",7/5/12,expired,22.3
10 km,M,93.0,1:40:21,6021.0,Paul,Spangler,USA,3/18/1899,Paramount 10K,"Paramount, CA",1/16/93,,17.1
10 km,M,94.0,1:47:28,6448.0,Paul,Spangler,USA,3/18/1899,Paramount 10K,"Paramount, CA",1/15/94,,15.6
,,,,,, ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
,,,,,, ,,,,,,,
