Event,Gender,Age,Time,TIME_SEC,Fname,Lname,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,Unnamed: 12,VDOT
20 km,M,29,56:26,3386,Steven,Kibet Kosgei,KEN,11/9/86,,Copenhagen DEN,9/18/16,,81.9
20 km,M,30,57:42,3462,Girma,Tola,ETH,10/13/75,,Paris FRA,10/16/05,,79.8
20 km,M,31,57:54,3474,Salah,Hissou,MAR,3/16/72,,Alphen aan den Rijn NED,3/7/04,,79.5
20 km,M,32,58:23,3503,Worku,Bikila,ETH,5/6/68,,Alphen aan den Rijn NED,3/11/01,,78.7
20 km,M,33,56:55,3415,Mohamed,Farah,ENG,3/23/83,,Cardiff WAL,3/26/16,,81.1
20 km,M,34,58:28,3508,Gilbert,Rutto,KEN,1/10/61,,New Haven CT USA,9/4/95,,78.6
20 km,M,35,56:27,3387,Gilbert,Masai,KEN,5/20/81,,Copenhagen DEN,9/18/16,,81.9
20 km,M,36,58:42,3522,Abdellah,Behar,FRA,7/7/63,,Paris FRA,10/17/99,,78.2
20 km,M,37,59:07,3547,Domingos,Castro,POR,11/22/63,,Alphen aan den Rijn NED,3/11/01,,77.6
20 km,M,38,59:03,3543,Paulo,Catarino,POR,9/30/63,,Almeirim POR,1/20/02,,77.7
20 km,M,39,59:17,3557,Brahim,Lahlafi,MAR,4/15/68,,Maroilles FRA,5/1/07,,77.3
20 km,M,40,59:43,3583,Meb,Keflezighi,USA,5/5/75,Rock 'n' Roll Half Marathon San Jose (20K  split),"San Jose, CA",9/27/15,,76.7
20 km,M,41,1:02:56,3776,Theo,Vanden Abeel,BEL,8/15/60,,Alphen aan den Rijn NED,3/10/02,,72.1
20 km,M,42,1:02:42,3762,Diego-Alberto,Colorado,COL,8/31/73,,Cardiff WAL,3/26/16,,72.4
20 km,M,43,1:05:39,3939,Paul,Thompson,USA,12/28/65,New Haven 20K,"New Haven, CT",9/1/14,,68.7
20 km,M,44,1:03:07,3787,Bill,Rodgers,USA,12/23/47,,New Haven CT USA,9/7/92,,71.9
20 km,M,45,1:02:17,3737,Michael,Hurd,ENG,12/19/45,,Hardelot FRA,6/29/91,,73.0
20 km,M,46,1:05:05,3905,David,Chawane,RSA,9/17/59,,East London RSA,7/2/06,,69.4
20 km,M,47,1:06:38,3998,Sal,Vasquez,USA,12/15/39,,"El Cajon, CA",3/28/87,,67.5
20 km,M,48,1:07:47,4067,Theo,Vanden Abeel,BEL,8/15/60,,Alphen aan den Rijn NED,3/8/09,,66.2
20 km,M,49,1:06:05,3965,Hal,Higdon,USA,,Brooks Masters,"Chesterton, IN",10/4/80,,68.2
20 km,M,50,1:05:50,3950,Norm,Green,USA,6/27/32,,Washington DC USA,5/29/83,,68.5
20 km,M,51,1:06:01,3961,Hal,Higdon,USA,6/17/31,Pear Blossom,"Medford, OR",4/9/83,,68.2
20 km,M,52,1:07:14,4034,Ray,Hatton,USA,2/4/32,Pear Blossom,"Medford, OR",4/14/84,,66.8
20 km,M,52,1:09:50,4190,Philippe,Remond,FRA,11/9/63,,Paris FRA,10/9/16,,64.0
20 km,M,53,1:11:11,0,Ray,Hatton,USA,2/4/32,Pear Blossom,"Medford, OR",4/14/84,,
20 km,M,54,1:08:33,4113,Alain,Mimoun,FRA,1/1/21,,Draveil FRA,5/4/75,,65.3
20 km,M,55,1:09:23,4163,Ray,Hatton,USA,2/4/32,Pear Blossom,"Medford, OR",4/14/84,,64.4
20 km,M,56,1:08:07,4087,Norm,Green,USA,6/27/32,,Medford OR USA,4/8/89,,65.8
20 km,M,57,1:11:14,4274,Norm,Green,USA,6/27/32,Penn Relays Distance Classic,"Philadelphia, PA",04/22/1990,,62.5
20 km,M,58,1:13:57,4437,Johnny,Kelley,USA,9/6/07,,Needham MA USA,7/4/66,,59.9
20 km,M,59,1:16:39,4599,Johnny,Dugdale,USA,10/29/34,New Haven 20K,"New Haven, CT",9/5/94,,57.4
20 km,M,60,1:12:36,4356,Doug,Winn,USA,2/2/50,New Haven 20K,"New Haven, CT",9/6/10,,61.2
20 km,M,61,1:17:35,4655,Norman,Eastman,USA,5/9/31,,MI,5/23/92,,56.6
20 km,M,62,1:16:55,4615,Hubert,Morgan,USA,3/20/22,Wyoming Valley Striders,"Wilkes-Barre, PA",9/23/84,,57.2
20 km,M,63,1:20:48,4848,Gerald,Horton,USA,12/12/22,Barber's Point RRCA Champ,"Honolulu, HI",2/2/86,,54.0
20 km,M,64,1:18:52,4732,Don,Longennecker,USA,3/25/16,,Tucson AZ USA,11/9/80,,55.6
20 km,M,65,1:18:26,4706,Brian,Pilcher,USA,8/23/56,New Haven Road Race 20K,"New Haven, CT",9/6/2021,,55.9
20 km,M,66,1:20:53,4853,Norman,Bright,USA,1/19/10,National Masters,"Washington, DC",05/22/1976,,54.0
20 km,M,67,1:13:25,4405,Patrick,Roussel,FRA,3/19/47,,Paris FRA,10/12/14,,60.4
20 km,M,68,1:20:05,4805,Doug,Goodhue,USA,2/21/42,New Haven 20K,"New Haven, CT",9/6/10,,54.6
20 km,M,69,1:25:02,5102,Paul,Reese,USA,4/17/17,Pear Blossom,"Medford, OR",4/12/87,,51.0
20 km,M,70,1:20:11,4811,Warren,Utes,USA,7/12/07,Chicago Distance Classic,"Chicago, IL",07/11/1993,,54.5
20 km,M,71,1:26:27,5187,Ron,Legg,USA,8/20/45,Akron Half Marathon (20K split),"Akron, OH",09/24/2016,,50.0
20 km,M,72,1:23:15,4995,Warren,Utes,USA,7/12/07,Chicago Distance Classic,"Chicago, IL",07/12/1992,,52.2
20 km,M,73,1:25:30,5130,Warren,Utes,USA,7/12/07,Chicago Distance Classic,"Chicago, IL",07/11/1993,,50.6
20 km,M,74,1:29:28,5368,Doug,Goodhue,USA,2/21/42,Volkslaufe 20K,"Frankenmuth, MI",07/04/2016,,48.0
20 km,M,75,1:23:15,4995,Warren,Utes,USA,7/12/07,Chicago Distance Classic,"Chicago, IL",07/09/1995,,52.2
20 km,M,76,1:37:05,5825,Ed,Benham,USA,7/12/07,Snowball Derby #5,Washington DC USA,01/22/1984,,43.7
20 km,M,77,1:32:14,5534,Ed,Benham,USA,7/12/07,TAC Masters,Washington DC USA,05/26/1985,,46.4
20 km,M,78,1:43:35,6215,Dudley,Healy,USA,4/23/14,New Haven 20K,"New Haven, CT",09/07/1992,,40.5
20 km,M,79,1:50:10,6610,Ed,Vuolo,USA,4/3/16,New Haven 20K,"New Haven, CT",09/04/1995,,37.7
20 km,M,80,1:36:40,5800,John,Keston,USA,12/5/24,Fetzer Memorial,"Rochester, MN",04/09/2005,,43.9
20 km,M,81,1:33:56,5636,Ed,Benham,USA,7/12/07,,Medford OR USA,04/08/1989,,45.4
20 km,M,82,1:48:41,6521,Geoffrey,Etherington,USA,12/22/28,New Haven 20K,"New Haven, CT",9/5/11,,38.3
20 km,M,83,1:50:09,6609,Geoffrey,Etherington,USA,12/22/28,New Haven 20K,"New Haven, CT",9/3/12,,37.7
20 km,M,84,2:58:53,10733,George,Whitney,USA,,New Haven 20K,"New Haven, CT",9/1/03,,20.8
20 km,M,85,2:07:49,7669,Paul,Spangler,USA,3/18/1899,Capitol City Classic,"Sacramento, CA",3/25/84,,31.6
20 km,M,86,2:56:32,10592,Earl,Bailey,USA,,TAC Masters,Washington,05/26/1985,,21.2
20 km,M,88,2:48:06,10086,Paul,Spangler,USA,3/18/1899,South Bay,"Los Osos, CA",3/6/88,,22.6
